Informe as versões (deixe em branco para buscar todas):
 - Versão do Bottlerocket (ex: 1.58.0). Deixe em branco para todas.
 - Versão do Kubernetes (ex: 1.35). Deixe em branco para todas.
 - Regiões (separadas por vírgula). Deixe em branco para todas as regiões.
Versão do Bottlerocket: 1.58.0
Versão do Kubernetes: 
Regiões (comma-separated): 
Buscando AMIs com o padrao: bottlerocket-aws-k8s-*-*-v1.58.0-*
==================================================
Consultando regiao: ap-south-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-north-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-3...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-3...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ca-central-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: sa-east-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-southeast-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-southeast-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-central-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-east-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-east-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-west-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-west-2...
  -> 48 AMI(s) encontrada(s)

Resultado final:
K8S_Version  Region          AMI_ID                 Arch    Name                                                            CreationDate
1.30         ca-central-1    ami-0ebe42c6b1f19cd09  arm64   bottlerocket-aws-k8s-1.30-nvidia-aarch64-v1.58.0-c5c37032       2026-04-01T22:57:34.000Z
1.30         ca-central-1    ami-0f984ee644b655484  arm64   bottlerocket-aws-k8s-1.30-aarch64-v1.58.0-c5c37032              2026-04-01T22:59:14.000Z
1.30         sa-east-1       ami-020b9d81e54ca2f9c  arm64   bottlerocket-aws-k8s-1.30-nvidia-aarch64-v1.58.0-c5c37032       2026-04-01T22:57:37.000Z
1.30         sa-east-1       ami-039c864de56f6eda3  x86_64  bottlerocket-aws-k8s-1.30-x86_64-v1.58.0-c5c37032               2026-04-01T22:56:43.000Z
1.30         sa-east-1       ami-0704e4d07fde22691  arm64   bottlerocket-aws-k8s-1.30-aarch64-v1.58.0-c5c37032              2026-04-01T22:59:16.000Z
1.30         sa-east-1       ami-09702d8ed6f30780e  arm64   bottlerocket-aws-k8s-1.30-fips-aarch64-v1.58.0-c5c37032         2026-04-01T22:59:26.000Z
1.30         sa-east-1       ami-09f24ff879172f80e  x86_64  bottlerocket-aws-k8s-1.30-nvidia-x86_64-v1.58.0-c5c37032        2026-04-01T22:59:52.000Z
1.30         sa-east-1       ami-0a971e08d9e9271c2  x86_64  bottlerocket-aws-k8s-1.30-fips-x86_64-v1.58.0-c5c37032          2026-04-01T22:59:11.000Z
1.30         sa-east-1       ami-0c3f93486cd9c224e  arm64   bottlerocket-aws-k8s-1.30-nvidia-fips-aarch64-v1.58.0-c5c37032  2026-04-01T22:59:49.000Z
1.30         sa-east-1       ami-0e166fe94a02cb02a  x86_64  bottlerocket-aws-k8s-1.30-nvidia-fips-x86_64-v1.58.0-c5c37032   2026-04-01T22:59:53.000Z
